rubric,complete_rubric,category,sub_category,remedy_short_name,grade,page
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,cann-i,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,canth,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,caust,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,cham,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,chin,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,clem,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,con,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,cupr,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,cycl,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,elaps,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,grat,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,ham,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,ip,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,lil-t,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,mang,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,merc,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,mosch,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,mur-ac,1,1
